Absolute Dose(Gy),Liver (7) (Volume: 1627.6 mL)
36,20.32445
36.1,20.30212
36.2,20.27985
36.3,20.25755
36.4,20.23537
36.5,20.21292
36.6,20.1901
36.7,20.16768
36.8,20.14564
36.9,20.12323
37,20.10047
37.1,20.07786
37.2,20.05541
37.3,20.03311
37.4,20.01059
37.5,19.9881
37.6,19.96533
37.7,19.94283
37.8,19.92044
37.9,19.89754
38,19.87479
38.1,19.85194
38.2,19.82937
38.3,19.80612
38.4,19.78319
38.5,19.76039
38.6,19.73742
38.7,19.71439
38.8,19.69123
38.9,19.66763
39,19.64471
39.1,19.62145
39.2,19.59834
39.3,19.57442
39.4,19.55063
39.5,19.52732
39.6,19.50391
39.7,19.48005
39.8,19.4561
39.9,19.43236
40,19.40894
40.1,19.38483
40.2,19.36138
40.3,19.33789
40.4,19.31384
40.5,19.28986
40.6,19.2656
40.7,19.24155
40.8,19.21774
40.9,19.19324
41,19.16904
41.1,19.14427
41.2,19.11995
41.3,19.09548
41.4,19.07044
41.5,19.04582
41.6,19.02116
41.7,18.99588
41.8,18.97062
41.9,18.94563
42,18.92047
42.1,18.89514
42.2,18.8701
42.3,18.8448
42.4,18.81936
42.5,18.79372
42.6,18.76835
42.7,18.74269
42.8,18.71671
42.9,18.6904
43,18.66448
43.1,18.63828
43.2,18.61161
43.3,18.58526
43.4,18.55851
43.5,18.53152
43.6,18.50473
43.7,18.47763
43.8,18.45028
43.9,18.4229
44,18.396
44.1,18.36819
44.2,18.34057
44.3,18.31282
44.4,18.28492
44.5,18.25655
44.6,18.22789
44.7,18.19945
44.8,18.17066
44.9,18.14183
45,18.11268
45.1,18.08291
45.2,18.05286
45.3,18.02291
45.4,17.99275
45.5,17.96169
45.6,17.93141
45.7,17.9007
45.8,17.86975
45.9,17.83852
46,17.80689
46.1,17.77471
46.2,17.74268
46.3,17.70998
46.4,17.67704
46.5,17.64346
46.6,17.60936
46.7,17.57557
46.8,17.54112
46.9,17.50584
47,17.47023
47.1,17.43492
47.2,17.39903
47.3,17.36316
47.4,17.3264
47.5,17.28913
47.6,17.25138
47.7,17.21342
47.8,17.17485
47.9,17.13472
48,17.09485
48.1,17.05381
48.2,17.01237
48.3,16.97008
48.4,16.92785
48.5,16.88483
48.6,16.84088
48.7,16.79652
48.8,16.75047
48.9,16.70406
49,16.65632
49.1,16.60818
49.2,16.55806
49.3,16.50737
49.4,16.45522
49.5,16.40262
49.6,16.34931
49.7,16.29483
49.8,16.23868
49.9,16.18096
50,16.12213
50.1,16.06122
50.2,15.99855
50.3,15.93402
50.4,15.86767
50.5,15.79936
50.6,15.72973
50.7,15.65743
50.8,15.5827
50.9,15.50537
51,15.42488
51.1,15.3416
51.2,15.2544
51.3,15.16429
51.4,15.06954
51.5,14.96963
51.6,14.86349
51.7,14.75205
