Absolute Dose(Gy),Liver (7) (Volume: 1627.3 mL)
0,100
0.1,32.33461
0.2,31.24213
0.3,30.55577
0.4,30.0364
0.5,29.60788
0.6,29.2352
0.7,28.90728
0.8,28.62048
0.9,28.36976
1,28.14848
1.1,27.94844
1.2,27.76477
1.3,27.59701
1.4,27.44099
1.5,27.29508
1.6,27.1581
1.7,27.02865
1.8,26.90539
1.9,26.78829
2,26.67616
2.1,26.56841
2.2,26.4653
2.3,26.36546
2.4,26.26921
2.5,26.17505
2.6,26.08506
2.7,25.99695
2.8,25.91032
2.9,25.82673
3,25.74584
3.1,25.66643
3.2,25.58886
3.3,25.51319
3.4,25.43859
3.5,25.3679
3.6,25.29751
3.7,25.22785
3.8,25.1613
3.9,25.09498
4,25.0289
4.1,24.96561
4.2,24.90342
4.3,24.84067
4.4,24.78032
4.5,24.71996
4.6,24.6603
4.7,24.60232
4.8,24.54448
4.9,24.48804
5,24.43183
5.1,24.37706
5.2,24.32121
5.3,24.26729
5.4,24.21419
5.5,24.1619
5.6,24.10878
5.7,24.05721
5.8,24.0063
5.9,23.956
6,23.90581
6.1,23.85599
6.2,23.80782
6.3,23.75849
6.4,23.71153
6.5,23.66473
6.6,23.61744
6.7,23.57158
6.8,23.52513
6.9,23.48082
7,23.4354
7.1,23.39012
7.2,23.3459
7.3,23.30169
7.4,23.25806
7.5,23.2145
7.6,23.17106
7.7,23.12853
7.8,23.086
7.9,23.0435
8,23.00108
8.1,22.95988
8.2,22.91807
8.3,22.87666
8.4,22.83534
8.5,22.79427
8.6,22.75397
8.7,22.71337
8.8,22.67283
8.9,22.63244
9,22.59285
9.1,22.55258
9.2,22.51335
9.3,22.4749
9.4,22.43434
9.5,22.3961
9.6,22.35686
9.7,22.31788
9.8,22.27997
9.9,22.24276
10,22.20487
10.1,22.16729
10.2,22.12983
10.3,22.09271
10.4,22.05584
10.5,22.01955
10.6,21.98216
10.7,21.94494
10.8,21.9083
10.9,21.873
11,21.83599
11.1,21.80011
11.2,21.76333
11.3,21.72688
11.4,21.69113
11.5,21.65468
11.6,21.61901
11.7,21.58306
11.8,21.54676
11.9,21.51027
12,21.47431
12.1,21.43898
12.2,21.40319
12.3,21.36774
12.4,21.33181
12.5,21.29554
12.6,21.25975
12.7,21.22479
12.8,21.18961
12.9,21.15336
13,21.11769
13.1,21.0819
13.2,21.04657
13.3,21.01046
13.4,20.9755
13.5,20.93988
13.6,20.90385
13.7,20.86835
13.8,20.83185
13.9,20.79641
14,20.76064
14.1,20.72517
14.2,20.68978
14.3,20.65544
14.4,20.62055
14.5,20.58607
14.6,20.55164
14.7,20.51686
14.8,20.48204
14.9,20.44651
15,20.41221
15.1,20.37707
15.2,20.34194
15.3,20.30716
15.4,20.27184
15.5,20.23694
15.6,20.20165
15.7,20.16656
15.8,20.13169
15.9,20.09553
16,20.06047
16.1,20.02474
16.2,19.98933
16.3,19.95328
16.4,19.91743
16.5,19.88128
16.6,19.84513
16.7,19.80937
16.8,19.77316
16.9,19.7362
17,19.69981
17.1,19.6632
17.2,19.62632
17.3,19.59009
17.4,19.55328
17.5,19.51602
17.6,19.47846
17.7,19.44126
17.8,19.4029
17.9,19.36639
18,19.32948
18.1,19.2913
18.2,19.25374
18.3,19.21662
18.4,19.17914
18.5,19.14187
18.6,19.10277
18.7,19.06492
18.8,19.02566
18.9,18.98748
19,18.94758
19.1,18.90855
19.2,18.86911
19.3,18.82896
19.4,18.78841
19.5,18.74809
19.6,18.70776
19.7,18.6663
19.8,18.62511
19.9,18.58296
20,18.54104
20.1,18.49904
20.2,18.45589
20.3,18.41278
20.4,18.36954
20.5,18.32544
20.6,18.2812
20.7,18.23671
20.8,18.19174
20.9,18.14522
21,18.09921
21.1,18.05227
21.2,18.00524
21.3,17.95548
21.4,17.90875
21.5,17.86091
21.6,17.81335
21.7,17.76521
21.8,17.71615
21.9,17.66681
22,17.61644
22.1,17.56474
22.2,17.51362
22.3,17.46102
22.4,17.40769
22.5,17.35311
22.6,17.29838
22.7,17.2421
22.8,17.1846
22.9,17.12575
23,17.06733
23.1,17.00634
23.2,16.94473
23.3,16.88001
23.4,16.81532
23.5,16.74791
23.6,16.67782
23.7,16.606
23.8,16.53272
23.9,16.4588
24,16.38435
24.1,16.30782
24.2,16.22835
24.3,16.14805
24.4,16.06441
24.5,15.97721
24.6,15.88695
24.7,15.79284
24.8,15.69604
24.9,15.59429
25,15.48752
25.1,15.376
25.2,15.25671
25.3,15.13183
25.4,14.99634
25.5,14.85314
25.6,14.70079
25.7,14.53554
25.8,14.3515
25.9,14.14292
26,13.90779
26.1,13.64352
26.2,13.33136
26.3,12.21043
26.4,10.21316
26.5,7.75597
26.6,5.58642
26.7,3.94484
26.8,2.82889
26.9,2.13297
27,1.65699
27.1,1.38082
27.2,1.02861
27.3,0.74639
27.4,0.49128
27.5,0.17265
27.6,0.05307
27.7,0.01136
27.8,0.00393
27.9,6.50E-04
28,0
