Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,73.0627
0.2,71.37432
0.3,70.20667
0.4,69.26005
0.5,68.46134
0.6,67.76734
0.7,67.13477
0.8,66.55347
0.9,66.02098
1,65.51396
1.1,65.02959
1.2,64.57952
1.3,64.14984
1.4,63.73427
1.5,63.33112
1.6,62.9383
1.7,62.56645
1.8,62.20414
1.9,61.84839
2,61.50312
2.1,61.16236
2.2,60.83352
2.3,60.50899
2.4,60.18569
2.5,59.87083
2.6,59.5618
2.7,59.24962
2.8,58.941
2.9,58.64278
3,58.34604
3.1,58.04689
3.2,57.75559
3.3,57.46384
3.4,57.16931
3.5,56.87821
3.6,56.599
3.7,56.31821
3.8,56.03991
3.9,55.76921
4,55.49464
4.1,55.21556
4.2,54.92922
4.3,54.63583
4.4,54.35864
4.5,54.07986
4.6,53.80961
4.7,53.53964
4.8,53.26751
4.9,52.99099
5,52.70691
5.1,52.40505
5.2,52.11101
5.3,51.82263
5.4,51.5446
5.5,51.26441
5.6,50.97968
5.7,50.68718
5.8,50.38754
5.9,50.07709
6,49.74458
6.1,49.43452
6.2,49.13314
6.3,48.82637
6.4,48.51348
6.5,48.1925
6.6,47.86001
6.7,47.51352
6.8,47.13988
6.9,46.76991
7,46.41506
7.1,46.04895
7.2,45.66668
7.3,45.26127
7.4,44.82701
7.5,44.3526
7.6,43.87586
7.7,43.39989
7.8,42.90972
7.9,42.39045
8,41.83638
8.1,41.2474
8.2,40.61501
8.3,39.96859
8.4,39.30179
8.5,38.60269
8.6,37.83978
8.7,36.96385
8.8,35.8792
8.9,34.66341
9,33.42442
9.1,32.18362
9.2,30.95804
9.3,29.78206
9.4,28.62225
9.5,27.46391
9.6,26.23494
9.7,24.89477
9.8,23.34275
9.9,21.10905
10,12.64672
10.1,1.48014
10.2,0.0056
10.3,0
