Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,68.79079
0.2,66.97104
0.3,65.68537
0.4,64.67117
0.5,63.81871
0.6,63.0618
0.7,62.38257
0.8,61.76586
0.9,61.18903
1,60.65451
1.1,60.14621
1.2,59.65919
1.3,59.20035
1.4,58.75513
1.5,58.32044
1.6,57.90191
1.7,57.49793
1.8,57.09985
1.9,56.70673
2,56.32606
2.1,55.95671
2.2,55.5912
2.3,55.23023
2.4,54.87703
2.5,54.53109
2.6,54.19354
2.7,53.85757
2.8,53.5285
2.9,53.20166
3,52.87838
3.1,52.55825
3.2,52.24289
3.3,51.93446
3.4,51.6241
3.5,51.31496
3.6,51.01098
3.7,50.70468
3.8,50.40848
3.9,50.11172
4,49.81636
4.1,49.51876
4.2,49.21913
4.3,48.92267
4.4,48.63394
4.5,48.34352
4.6,48.0522
4.7,47.7602
4.8,47.46298
4.9,47.17091
5,46.87947
5.1,46.59149
5.2,46.29974
5.3,46.00518
5.4,45.70095
5.5,45.40634
5.6,45.10812
5.7,44.81637
5.8,44.51751
5.9,44.21379
6,43.9024
6.1,43.59938
6.2,43.29145
6.3,42.98114
6.4,42.66961
6.5,42.34489
6.6,42.01847
6.7,41.69419
6.8,41.36452
6.9,41.02888
7,40.68558
7.1,40.33584
7.2,39.97958
7.3,39.61725
7.4,39.24469
7.5,38.8583
7.6,38.46628
7.7,38.06105
7.8,37.64599
7.9,37.21189
8,36.76658
8.1,36.30957
8.2,35.83428
8.3,35.33041
8.4,34.81471
8.5,34.26622
8.6,33.69929
8.7,33.10789
8.8,32.48324
8.9,31.82825
9,31.12996
9.1,30.39146
9.2,29.60421
9.3,28.75863
9.4,27.86849
9.5,26.8767
9.6,25.78731
9.7,24.53991
9.8,23.03836
9.9,20.06477
10,13.0952
10.1,3.33576
10.2,0.02654
10.3,0
