Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
36,42.39997
36.1,42.33984
36.2,42.27992
36.3,42.21932
36.4,42.15926
36.5,42.0988
36.6,42.0392
36.7,41.97953
36.8,41.91874
36.9,41.85839
37,41.79806
37.1,41.73815
37.2,41.67808
37.3,41.61665
37.4,41.55558
37.5,41.49506
37.6,41.43459
37.7,41.374
37.8,41.3138
37.9,41.25494
38,41.19607
38.1,41.13743
38.2,41.07842
38.3,41.01751
38.4,40.95833
38.5,40.89842
38.6,40.83958
38.7,40.78039
38.8,40.72004
38.9,40.65963
39,40.59956
39.1,40.53853
39.2,40.47836
39.3,40.41743
39.4,40.3568
39.5,40.29632
39.6,40.23637
39.7,40.17636
39.8,40.11625
39.9,40.05525
40,39.99574
40.1,39.93509
40.2,39.87399
40.3,39.81449
40.4,39.75345
40.5,39.69282
40.6,39.63231
40.7,39.57213
40.8,39.51082
40.9,39.44948
41,39.38922
41.1,39.32737
41.2,39.26645
41.3,39.20528
41.4,39.14339
41.5,39.08124
41.6,39.01921
41.7,38.95724
41.8,38.89462
41.9,38.83285
42,38.7701
42.1,38.70771
42.2,38.64474
42.3,38.58089
42.4,38.51714
42.5,38.45414
42.6,38.39078
42.7,38.32706
42.8,38.26348
42.9,38.19928
43,38.13484
43.1,38.07044
43.2,38.00625
43.3,37.94124
43.4,37.87929
43.5,37.8154
43.6,37.75287
43.7,37.68905
43.8,37.62433
43.9,37.56067
44,37.49591
44.1,37.43132
44.2,37.36684
44.3,37.30111
44.4,37.23746
44.5,37.17252
44.6,37.10877
44.7,37.044
44.8,36.97985
44.9,36.915
45,36.84955
45.1,36.78453
45.2,36.71859
45.3,36.65337
45.4,36.58853
45.5,36.52232
45.6,36.45631
45.7,36.38981
45.8,36.32418
45.9,36.25709
46,36.19082
46.1,36.12302
46.2,36.05514
46.3,35.9876
46.4,35.92024
46.5,35.85195
46.6,35.78422
46.7,35.71505
46.8,35.64538
46.9,35.57576
47,35.50574
47.1,35.43539
47.2,35.36537
47.3,35.29442
47.4,35.22446
47.5,35.15409
47.6,35.08215
47.7,35.01261
47.8,34.94327
47.9,34.87317
48,34.80163
48.1,34.73148
48.2,34.66084
48.3,34.59051
48.4,34.51757
48.5,34.44547
48.6,34.37205
48.7,34.29839
48.8,34.22293
48.9,34.14831
49,34.07257
49.1,33.9992
49.2,33.92494
49.3,33.8495
49.4,33.77483
49.5,33.69887
49.6,33.6227
49.7,33.54607
49.8,33.47063
49.9,33.39452
50,33.31777
50.1,33.23893
50.2,33.16068
50.3,33.08152
50.4,33.00318
50.5,32.9237
50.6,32.84388
50.7,32.76407
50.8,32.68313
50.9,32.60138
51,32.51843
51.1,32.4356
51.2,32.35221
51.3,32.26808
51.4,32.18277
51.5,32.09775
51.6,32.01083
51.7,31.92259
51.8,31.83521
51.9,31.74662
52,31.65995
52.1,31.5715
52.2,31.48248
52.3,31.39485
52.4,31.3054
52.5,31.21745
52.6,31.13002
52.7,31.04111
52.8,30.95141
52.9,30.86075
53,30.76954
53.1,30.67801
53.2,30.58573
53.3,30.49196
53.4,30.39901
53.5,30.30351
53.6,30.20773
53.7,30.11078
53.8,30.01299
53.9,29.91335
54,29.81333
54.1,29.71218
54.2,29.60896
54.3,29.50517
54.4,29.39922
54.5,29.29342
54.6,29.18758
54.7,29.08154
54.8,28.97512
54.9,28.86745
55,28.75889
55.1,28.64643
55.2,28.53279
55.3,28.41726
55.4,28.2989
55.5,28.18133
55.6,28.06259
55.7,27.94357
55.8,27.82291
55.9,27.70086
56,27.57788
56.1,27.45027
56.2,27.32209
56.3,27.19071
56.4,27.05912
56.5,26.9262
56.6,26.79051
56.7,26.64913
56.8,26.5066
56.9,26.35867
57,26.20709
57.1,26.04837
57.2,25.8931
57.3,25.73749
57.4,25.58294
57.5,25.42255
57.6,25.26086
57.7,25.09475
57.8,24.92478
57.9,24.75033
58,24.57011
58.1,24.38549
58.2,24.19392
58.3,23.99789
58.4,23.79702
58.5,23.58428
58.6,23.36902
58.7,23.13956
58.8,22.904
58.9,22.6617
59,22.40711
59.1,22.13725
59.2,21.84937
59.3,21.52614
59.4,21.19298
59.5,20.83611
59.6,20.37666
59.7,19.73977
59.8,18.85591
59.9,17.53892
60,15.67064
60.1,13.24799
60.2,10.09236
60.3,6.67375
60.4,3.62865
60.5,1.49318
60.6,0.37858
60.7,0.03996
60.8,0
