Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,67.47772
0.2,65.87994
0.3,64.77353
0.4,63.91467
0.5,63.17919
0.6,62.54244
0.7,61.95886
0.8,61.4289
0.9,60.93804
1,60.48743
1.1,60.07471
1.2,59.69224
1.3,59.32388
1.4,58.97832
1.5,58.66038
1.6,58.36761
1.7,58.08462
1.8,57.80603
1.9,57.52504
2,57.24865
2.1,56.9973
2.2,56.76136
2.3,56.52791
2.4,56.29432
2.5,56.05787
2.6,55.81316
2.7,55.57564
2.8,55.35417
2.9,55.14629
3,54.94005
3.1,54.73352
3.2,54.52525
3.3,54.31042
3.4,54.09661
3.5,53.88252
3.6,53.68083
3.7,53.48161
3.8,53.28392
3.9,53.08452
4,52.88603
4.1,52.68282
4.2,52.47579
4.3,52.26341
4.4,52.05899
4.5,51.86047
4.6,51.66272
4.7,51.46715
4.8,51.26577
4.9,51.06328
5,50.85519
5.1,50.64331
5.2,50.42431
5.3,50.21661
5.4,50.00709
5.5,49.79383
5.6,49.5788
5.7,49.36574
5.8,49.14777
5.9,48.92615
6,48.69892
6.1,48.45814
6.2,48.23957
6.3,48.01394
6.4,47.77638
6.5,47.53073
6.6,47.27573
6.7,47.02075
6.8,46.75996
6.9,46.48745
7,46.19005
7.1,45.90796
7.2,45.60814
7.3,45.28594
7.4,44.94656
7.5,44.58775
7.6,44.20968
7.7,43.79857
7.8,43.3617
7.9,42.91754
8,42.4397
8.1,41.91609
8.2,41.33921
8.3,40.67498
8.4,39.92965
8.5,39.09414
8.6,38.20703
8.7,37.2518
8.8,36.23223
8.9,35.1847
9,34.09584
9.1,32.99122
9.2,31.83813
9.3,30.63358
9.4,29.43227
9.5,28.21117
9.6,26.93842
9.7,25.58423
9.8,24.00643
9.9,21.89424
10,15.17046
10.1,4.49557
10.2,0.1627
10.3,0
