Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,62.59504
0.2,60.63438
0.3,59.3139
0.4,58.29904
0.5,57.46351
0.6,56.74712
0.7,56.1226
0.8,55.54182
0.9,55.01077
1,54.52749
1.1,54.06953
1.2,53.62863
1.3,53.20822
1.4,52.8193
1.5,52.44584
1.6,52.08372
1.7,51.73092
1.8,51.39283
1.9,51.06656
2,50.74739
2.1,50.43005
2.2,50.11325
2.3,49.80624
2.4,49.51437
2.5,49.22722
2.6,48.94363
2.7,48.66669
2.8,48.39
2.9,48.11524
3,47.84173
3.1,47.57346
3.2,47.31147
3.3,47.05463
3.4,46.8024
3.5,46.55384
3.6,46.30652
3.7,46.05762
3.8,45.81781
3.9,45.57652
4,45.33677
4.1,45.09538
4.2,44.85272
4.3,44.6043
4.4,44.36705
4.5,44.1301
4.6,43.89946
4.7,43.6686
4.8,43.43791
4.9,43.20608
5,42.971
5.1,42.73487
5.2,42.49631
5.3,42.253
5.4,42.01352
5.5,41.77653
5.6,41.54179
5.7,41.30284
5.8,41.06225
5.9,40.81679
6,40.56738
6.1,40.3135
6.2,40.06398
6.3,39.81491
6.4,39.55894
6.5,39.29843
6.6,39.02844
6.7,38.75416
6.8,38.47483
6.9,38.19459
7,37.91869
7.1,37.63629
7.2,37.34526
7.3,37.04388
7.4,36.72813
7.5,36.38835
7.6,36.04741
7.7,35.69772
7.8,35.33675
7.9,34.95641
8,34.55628
8.1,34.1315
8.2,33.68988
8.3,33.24798
8.4,32.79556
8.5,32.32546
8.6,31.83893
8.7,31.32923
8.8,30.79592
8.9,30.24774
9,29.67528
9.1,29.07426
9.2,28.42852
9.3,27.75367
9.4,27.02725
9.5,26.23208
9.6,25.32756
9.7,24.31176
9.8,23.07452
9.9,21.18378
10,14.02025
10.1,2.35337
10.2,0.04967
10.3,0
